Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CENTROID_NOT_SPECIFIED,CHECK_PRICES,COPYRIGHT,DATASHEET,DESCRIPTION,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,HEIGHT,LEAD_FREE,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,MPN,PACKAGE,POPULARITY,PREFIX,PRICE,PROD_ID,PURCHASE-URL,ROHS,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,TP_SIGNAL_NAME,VALUE
1,,ADAFRUIT_LEDCHIP-LED0603,ADAFRUIT_CHIP-LED0603,CHG_LED,LED,,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9gNaDSkRGKarharRdnT65ZkAg8XvJk907gsm2hB_IPIXcNG2clDxo9Fev_YttLnzFCIbUkGRYBw-xwffmg6Q3xi8rzTE35r1qjxwsbo8yFP_WJGLXa3_5xwb4-u4B4kfHxjaDsvgLEab_Ogo6rHqWu97sgNJnykKwcmfg6kQwyJuicPxSQAzAHLnm5_Lxtcrmiv3u_I38wXGx5puMy90lSc8aAlPeGeDmC-qSX-wJKNAs8-tQ4PFSOXsiLOqbXiz0TrIw9ZD9KEg_IrFbdkfWmK6ZJFaCXT9HXXbAMkGkfBIEaGEw8kYAAYpDzckR0A8kQu3h1fp7TW__5Vqr_AkTuH4gjRBqbDd230p0f7DLeSfQfDZo54kZMQPglsucm9TLvThj6eXk104yDUE9EL1gdjZfw8mXLt8_yryZfzwqZ4kF-dffOcFEZdbmynO7ly0ZpMNNmvSgAn2u532MNGPiu8-LhVHqJG9CtOP5bgE0MvyZx5kxcN0pOq-FTLW_4vgcvu3_kiuOHVb2PT6ip_ShQCOL8ToAbK603Fof1xxy6UwA,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/LSM0603463V/Visual%20Communications%20Company,,,,,,,,
3,,BUTTON_CUSYOMV1,MYBUTTON,"BOOT_BUTTON, CHANGE_BUTTON, RESET_BUTTON",,,,,,,,https://industry.panasonic.com/global/en/downloads?tab=catalog&small_g_cd=203&part_no=EVQPUJ02K,,,,,,,,,,,,,,,,,,,,,https://industry.panasonic.com/global/en/products/control/switch/light-touch/number/evqpuj02k,,,,,,,,
1,,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,PFMF.050.1,VARISTOR,,,,,,,https://www.tdk-electronics.tdk.com/inf/75/db/CTVS_14/Surge_protection_series.pdf,,,,,,,,,,,,,,,,,0,,,,https://www.mouser.co.uk/ProductDetail/EPCOS-TDK/B72520T0350K062?qs=dEfas%2FXlABIszF52uu7vrg%3D%3D,,,,,,,,
1,,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,MCP73831,"MCP73831T Li-Ion, Li-Pol Controller",,,,,,,https://ro.mouser.com/datasheet/2/268/MCP73831_Family_Data_Sheet_DS20001984H-3441711.pdf,,,,,,,,,,,,,,,,,,,,IC-09995,https://ro.mouser.com/ProductDetail/Microchip-Technology/MCP73831T-5ACI-OT?qs=hH%252BOa0VZEiAcgAcEkuamXg%3D%3D,,,,,,,,
1,,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,J2,CONN USB 2.0 TYPE-C R/A SMT,,,,,,,https://ro.mouser.com/datasheet/2/837/GCT_USB4110_Product_Drawing___20k_cycles-3455479.pdf,CONN USB 2.0 TYPE-C R/A SMT,,,3.26mm,,GCT (GLOBAL CONNECTOR TECHNOLOGY),USB4110-GF-A,,,640-USB4110-GF-A,,,,,,,,,,,https://componentsearchengine.com/part-view/XC6220A331MR-G/Torex,,,,,,,,
1,,SJ,ESP32_WROVER_EAGLE-LTSPICE_R0402,SJ1,SMD solder JUMPER,,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9itd6HouwDNkBJ6EbvJG_W1dvQ33O37oQvrBIGmAmWf7WaTE1x7V-fhYVb8BzYSgNk10lRrx9ydF05rSu_yF-RcTLzrvVqKpyEMsu1tWML3F5NsDK3eYvMDWLFReFpcpYcQT6VJIIHxe2IkeuwFaNGGth_bPArqAVRLfjMYZDlSoV5_e61wrdrMeBLi53h3S0fpxDEX4TLvuLsi8JJGhgQx2voMmyqY6gjXW05FuTS5Qg0wN73a4RXBC7fJniBn8yriZXPMyggVMPVjL_9j3a1i4URi-pLFft7-_hLLLd0kX-uUouNvW0LzSWKkqNJlO6y1UWqDYMRLOE2dWFnrHj_3dksoFiwKXmoFw3sFOj5NXRaA6wxikMMMYZ3-gooWmAhCzEczgqDfXEQesLsiJT4-XFNfgt7LRuH9NmM38ieQHEqyxGFi6kd4X6I0KTHQLg2-V8XlyekPtBCU8gDdPBhOQ17Oj7rYC0lA0EcA__td0qxqTJ8t7VxJcv7gPOP6anfgCpsnupcmJj6zFPjIrtqj4NWwwbbecRBKOv7doyTdwmzqoyGGrGPY7DQKSHciWg8cX6Hc3D7dmNS4mPEOJOOKewle43KybI4UJMP_UcC5JA,,,,,,,,,,,,,,,,,3,,,,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO,,,,,,,,
1,0.47,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R3,"RESISTOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9itd6HouwDNkBJ6EbvJG_W1dvQ33O37oQvrBIGmAmWf7WaTE1x7V-fhYVb8BzYSgNk10lRrx9ydF05rSu_yF-RcTLzrvVqKpyEMsu1tWML3F5NsDK3eYvMDWLFReFpcpYcQT6VJIIHxe2IkeuwFaNGGth_bPArqAVRLfjMYZDlSoV5_e61wrdrMeBLi53h3S0fpxDEX4TLvuLsi8JJGhgQx2voMmyqY6gjXW05FuTS5Qg0wN73a4RXBC7fJniBn8yriZXPMyggVMPVjL_9j3a1i4URi-pLFft7-_hLLLd0kX-uUouNvW0LzSWKkqNJlO6y1UWqDYMRLOE2dWFnrHj_3dksoFiwKXmoFw3sFOj5NXRaA6wxikMMMYZ3-gooWmAhCzEczgqDfXEQesLsiJT4-XFNfgt7LRuH9NmM38ieQHEqyxGFi6kd4X6I0KTHQLg2-V8XlyekPtBCU8gDdPBhOQ17Oj7rYC0lA0EcA__td0qxqTJ8t7VxJcv7gPOP6anfgCpsnupcmJj6zFPjIrtqj4NWwwbbecRBKOv7doyTdwmzqoyGGrGPY7DQKSHciWg8cX6Hc3D7dmNS4mPEOJOOKewle43KybI4UJMP_UcC5JA,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO,,,NONE,R,,,,
1,100K,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R1_PWRUSB,"RESISTOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9itd6HouwDNkBJ6EbvJG_W1dvQ33O37oQvrBIGmAmWf7WaTE1x7V-fhYVb8BzYSgNk10lRrx9ydF05rSu_yF-RcTLzrvVqKpyEMsu1tWML3F5NsDK3eYvMDWLFReFpcpYcQT6VJIIHxe2IkeuwFaNGGth_bPArqAVRLfjMYZDlSoV5_e61wrdrMeBLi53h3S0fpxDEX4TLvuLsi8JJGhgQx2voMmyqY6gjXW05FuTS5Qg0wN73a4RXBC7fJniBn8yriZXPMyggVMPVjL_9j3a1i4URi-pLFft7-_hLLLd0kX-uUouNvW0LzSWKkqNJlO6y1UWqDYMRLOE2dWFnrHj_3dksoFiwKXmoFw3sFOj5NXRaA6wxikMMMYZ3-gooWmAhCzEczgqDfXEQesLsiJT4-XFNfgt7LRuH9NmM38ieQHEqyxGFi6kd4X6I0KTHQLg2-V8XlyekPtBCU8gDdPBhOQ17Oj7rYC0lA0EcA__td0qxqTJ8t7VxJcv7gPOP6anfgCpsnupcmJj6zFPjIrtqj4NWwwbbecRBKOv7doyTdwmzqoyGGrGPY7DQKSHciWg8cX6Hc3D7dmNS4mPEOJOOKewle43KybI4UJMP_UcC5JA,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO,,,NONE,R,,,,
8,100nF,EAGLE-LTSPICE_CC0402,EAGLE-LTSPICE_C0402,"C1, C2, C4_USB, C6, C8, C9, C10, C_DELAY","CAPACITOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9h563cqbgR_5FGhiODcKT6azv7bSl5nuf_JbmcPl67LIOD-eFH0dQ5fGmWruxh3uWK4JYZuB-i4MbVubNKkJqcAl7rmj7IKAxZwWIidrEE_O9YHItfw9jZIKvxDC3Fmxf2A3jPViXxxSb8puVdYU1vjFrGj4C4j3MQJPvMTLLXd109bZbh1EHlqKKHwGAPIsJR5wnCkYKjt_galChG2g-tUGhuZxxGHVJAB9kHFTePl2_fOpK4rSyv0E39-OWELIXBGhhMPJGAAGKQ83JEdAPJEN1TAtcAMrHfEumpc1S_xNxIdcCjpaqX0g5-E_9PFrJYHw2aOeJGTED4JbLnJvUy704Y-nl5NdOMg1BPRC9YHY2X8PJly7fP8q8mX88KmeJAdNrmW_LmmbH7vpy4MJXP29Xzxz2HlQU883Gl9rboWdRognDi_xz_Ik6wrQ9G4ExNFZzyX8xSZEEEslkB89dTj,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/0805Y2500471FCR/Knowles,,,NONE,C,,,,
1,100uF TANT,RCL_CPOL-EUCT3528,RCL_CT3528,C3,"POLARIZED CAPACITOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9h563cqbgR_5FGhiODcKT6azv7bSl5nuf_JbmcPl67LIOD-eFH0dQ5fGmWruxh3uWK4JYZuB-i4MbVubNKkJqcAl7rmj7IKAxZwWIidrEE_O9YHItfw9jZIKvxDC3Fmxf2A3jPViXxxSb8puVdYU1vjFrGj4C4j3MQJPvMTLLXd109bZbh1EHlqKKHwGAPIsJR5wnCkYKjt_galChG2g-tUGhuZxxGHVJAB9kHFTePl2_fOpK4rSyv0E39-OWELIXBGhhMPJGAAGKQ83JEdAPJEN1TAtcAMrHfEumpc1S_xNxIdcCjpaqX0g5-E_9PFrJYHw2aOeJGTED4JbLnJvUy704Y-nl5NdOMg1BPRC9YHY2X8PJly7fP8q8mX88KmeJAdNrmW_LmmbH7vpy4MJXP29Xzxz2HlQU883Gl9rboWdRognDi_xz_Ik6wrQ9G4ExNFZzyX8xSZEEEslkB89dTj,,,,,,,,,,,,,,,,,0,,,,https://componentsearchengine.com/part-view/0805Y2500471FCR/Knowles,,,,C,,,,
15,10K,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,"R1_PINH, R1_PINH1, R2-PINH, R2-PINH1, R4, R5, R6, R7, R8, R9, R10, R_BOOT, R_CHANGE, R_CL1, R_RESET","RESISTOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9itd6HouwDNkBJ6EbvJG_W1dvQ33O37oQvrBIGmAmWf7WaTE1x7V-fhYVb8BzYSgNk10lRrx9ydF05rSu_yF-RcTLzrvVqKpyEMsu1tWML3F5NsDK3eYvMDWLFReFpcpYcQT6VJIIHxe2IkeuwFaNGGth_bPArqAVRLfjMYZDlSoV5_e61wrdrMeBLi53h3S0fpxDEX4TLvuLsi8JJGhgQx2voMmyqY6gjXW05FuTS5Qg0wN73a4RXBC7fJniBn8yriZXPMyggVMPVjL_9j3a1i4URi-pLFft7-_hLLLd0kX-uUouNvW0LzSWKkqNJlO6y1UWqDYMRLOE2dWFnrHj_3dksoFiwKXmoFw3sFOj5NXRaA6wxikMMMYZ3-gooWmAhCzEczgqDfXEQesLsiJT4-XFNfgt7LRuH9NmM38ieQHEqyxGFi6kd4X6I0KTHQLg2-V8XlyekPtBCU8gDdPBhOQ17Oj7rYC0lA0EcA__td0qxqTJ8t7VxJcv7gPOP6anfgCpsnupcmJj6zFPjIrtqj4NWwwbbecRBKOv7doyTdwmzqoyGGrGPY7DQKSHciWg8cX6Hc3D7dmNS4mPEOJOOKewle43KybI4UJMP_UcC5JA,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO,,,NONE,R,,,,
1,10k,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R1,"RESISTOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9itd6HouwDNkBJ6EbvJG_W1dvQ33O37oQvrBIGmAmWf7WaTE1x7V-fhYVb8BzYSgNk10lRrx9ydF05rSu_yF-RcTLzrvVqKpyEMsu1tWML3F5NsDK3eYvMDWLFReFpcpYcQT6VJIIHxe2IkeuwFaNGGth_bPArqAVRLfjMYZDlSoV5_e61wrdrMeBLi53h3S0fpxDEX4TLvuLsi8JJGhgQx2voMmyqY6gjXW05FuTS5Qg0wN73a4RXBC7fJniBn8yriZXPMyggVMPVjL_9j3a1i4URi-pLFft7-_hLLLd0kX-uUouNvW0LzSWKkqNJlO6y1UWqDYMRLOE2dWFnrHj_3dksoFiwKXmoFw3sFOj5NXRaA6wxikMMMYZ3-gooWmAhCzEczgqDfXEQesLsiJT4-XFNfgt7LRuH9NmM38ieQHEqyxGFi6kd4X6I0KTHQLg2-V8XlyekPtBCU8gDdPBhOQ17Oj7rYC0lA0EcA__td0qxqTJ8t7VxJcv7gPOP6anfgCpsnupcmJj6zFPjIrtqj4NWwwbbecRBKOv7doyTdwmzqoyGGrGPY7DQKSHciWg8cX6Hc3D7dmNS4mPEOJOOKewle43KybI4UJMP_UcC5JA,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO,,,NONE,R,,,,
1,10uF,EAGLE-LTSPICE_CC0402,EAGLE-LTSPICE_C0402,C7,"CAPACITOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9h563cqbgR_5FGhiODcKT6azv7bSl5nuf_JbmcPl67LIOD-eFH0dQ5fGmWruxh3uWK4JYZuB-i4MbVubNKkJqcAl7rmj7IKAxZwWIidrEE_O9YHItfw9jZIKvxDC3Fmxf2A3jPViXxxSb8puVdYU1vjFrGj4C4j3MQJPvMTLLXd109bZbh1EHlqKKHwGAPIsJR5wnCkYKjt_galChG2g-tUGhuZxxGHVJAB9kHFTePl2_fOpK4rSyv0E39-OWELIXBGhhMPJGAAGKQ83JEdAPJEN1TAtcAMrHfEumpc1S_xNxIdcCjpaqX0g5-E_9PFrJYHw2aOeJGTED4JbLnJvUy704Y-nl5NdOMg1BPRC9YHY2X8PJly7fP8q8mX88KmeJAdNrmW_LmmbH7vpy4MJXP29Xzxz2HlQU883Gl9rboWdRognDi_xz_Ik6wrQ9G4ExNFZzyX8xSZEEEslkB89dTj,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/0805Y2500471FCR/Knowles,,,NONE,C,,,,
1,112A-TAAR-R03_ATTEND,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,J4,"Micro SD Card Socket, Push-Push Type, Top Mount, SMT, H=1.83mm, 10u",,,,,,,,Micro SD Card Socket, Push-Push Type, Top Mount, SMT, H=1.83mm, 10u,,,1.9mm,,ATTEND,112A-TAAR-R03 ATTEND,,,,,,,,,https://store.comet.srl.ro/Catalogue/Product/43497/,,,,,,,,
1,15,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R_CAPACITOR,"RESISTOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9itd6HouwDNkBJ6EbvJG_W1dvQ33O37oQvrBIGmAmWf7WaTE1x7V-fhYVb8BzYSgNk10lRrx9ydF05rSu_yF-RcTLzrvVqKpyEMsu1tWML3F5NsDK3eYvMDWLFReFpcpYcQT6VJIIHxe2IkeuwFaNGGth_bPArqAVRLfjMYZDlSoV5_e61wrdrMeBLi53h3S0fpxDEX4TLvuLsi8JJGhgQx2voMmyqY6gjXW05FuTS5Qg0wN73a4RXBC7fJniBn8yriZXPMyggVMPVjL_9j3a1i4URi-pLFft7-_hLLLd0kX-uUouNvW0LzSWKkqNJlO6y1UWqDYMRLOE2dWFnrHj_3dksoFiwKXmoFw3sFOj5NXRaA6wxikMMMYZ3-gooWmAhCzEczgqDfXEQesLsiJT4-XFNfgt7LRuH9NmM38ieQHEqyxGFi6kd4X6I0KTHQLg2-V8XlyekPtBCU8gDdPBhOQ17Oj7rYC0lA0EcA__td0qxqTJ8t7VxJcv7gPOP6anfgCpsnupcmJj6zFPjIrtqj4NWwwbbecRBKOv7doyTdwmzqoyGGrGPY7DQKSHciWg8cX6Hc3D7dmNS4mPEOJOOKewle43KybI4UJMP_UcC5JA,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO,,,NONE,R,,,,
1,1uF,EAGLE-LTSPICE_CC0402,EAGLE-LTSPICE_C0402,C5,"CAPACITOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9h563cqbgR_5FGhiODcKT6azv7bSl5nuf_JbmcPl67LIOD-eFH0dQ5fGmWruxh3uWK4JYZuB-i4MbVubNKkJqcAl7rmj7IKAxZwWIidrEE_O9YHItfw9jZIKvxDC3Fmxf2A3jPViXxxSb8puVdYU1vjFrGj4C4j3MQJPvMTLLXd109bZbh1EHlqKKHwGAPIsJR5wnCkYKjt_galChG2g-tUGhuZxxGHVJAB9kHFTePl2_fOpK4rSyv0E39-OWELIXBGhhMPJGAAGKQ83JEdAPJEN1TAtcAMrHfEumpc1S_xNxIdcCjpaqX0g5-E_9PFrJYHw2aOeJGTED4JbLnJvUy704Y-nl5NdOMg1BPRC9YHY2X8PJly7fP8q8mX88KmeJAdNrmW_LmmbH7vpy4MJXP29Xzxz2HlQU883Gl9rboWdRognDi_xz_Ik6wrQ9G4ExNFZzyX8xSZEEEslkB89dTj,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/0805Y2500471FCR/Knowles,,,NONE,C,,,,
10,1uF/50V,EAGLE-LTSPICE_CC0402,EAGLE-LTSPICE_C0402,"EPD_C1, EPD_C2, EPD_C5, EPD_C6, EPD_C7, EPD_C8, EPD_C9, EPD_C10, EPD_C11, EPD_C12","CAPACITOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9h563cqbgR_5FGhiODcKT6azv7bSl5nuf_JbmcPl67LIOD-eFH0dQ5fGmWruxh3uWK4JYZuB-i4MbVubNKkJqcAl7rmj7IKAxZwWIidrEE_O9YHItfw9jZIKvxDC3Fmxf2A3jPViXxxSb8puVdYU1vjFrGj4C4j3MQJPvMTLLXd109bZbh1EHlqKKHwGAPIsJR5wnCkYKjt_galChG2g-tUGhuZxxGHVJAB9kHFTePl2_fOpK4rSyv0E39-OWELIXBGhhMPJGAAGKQ83JEdAPJEN1TAtcAMrHfEumpc1S_xNxIdcCjpaqX0g5-E_9PFrJYHw2aOeJGTED4JbLnJvUy704Y-nl5NdOMg1BPRC9YHY2X8PJly7fP8q8mX88KmeJAdNrmW_LmmbH7vpy4MJXP29Xzxz2HlQU883Gl9rboWdRognDi_xz_Ik6wrQ9G4ExNFZzyX8xSZEEEslkB89dTj,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/0805Y2500471FCR/Knowles,,,NONE,C,,,,
1,2.2,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R2,"RESISTOR, European symbol",,,,,,,https://analytics.supplyframe.com/trackingservlet/track/?r=0x34EY99PS_gIu2qWuzU9_U842M9-un2szqNoXX0OQ9lqbiEKGN3BJ73jgvlrgiXR89Peb0evqc4GXoUXllBhuC-t-jUChl_ve9sxyIbn9itd6HouwDNkBJ6EbvJG_W1dvQ33O37oQvrBIGmAmWf7WaTE1x7V-fhYVb8BzYSgNk10lRrx9ydF05rSu_yF-RcTLzrvVqKpyEMsu1tWML3F5NsDK3eYvMDWLFReFpcpYcQT6VJIIHxe2IkeuwFaNGGth_bPArqAVRLfjMYZDlSoV5_e61wrdrMeBLi53h3S0fpxDEX4TLvuLsi8JJGhgQx2voMmyqY6gjXW05FuTS5Qg0wN73a4RXBC7fJniBn8yriZXPMyggVMPVjL_9j3a1i4URi-pLFft7-_hLLLd0kX-uUouNvW0LzSWKkqNJlO6y1UWqDYMRLOE2dWFnrHj_3dksoFiwKXmoFw3sFOj5NXRaA6wxikMMMYZ3-gooWmAhCzEczgqDfXEQesLsiJT4-XFNfgt7LRuH9NmM38ieQHEqyxGFi6kd4X6I0KTHQLg2-V8XlyekPtBCU8gDdPBhOQ17Oj7rYC0lA0EcA__td0qxqTJ8t7VxJcv7gPOP6anfgCpsnupcmJj6zFPjIrtqj4NWwwbbecRBKOv7doyTdwmzqoyGGrGPY7DQKSHciWg8cX6Hc3D7dmNS4mPEOJOOKewle43KybI4UJMP_UcC5JA,,,,,,,,,,,,,,,,,,,,,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO,,,NONE,R,,,,
